Paper Title,Author(s),Abstract,Conference/Journal,Conference/Journal Score (from http://portal.core.edu.au/conf-ranks/ and http://portal.core.edu.au/jnl-ranks/ and/or https://www.scimagojr.com/),Year,BibTeX Reference
Adoption of Lamport signature scheme to implement digital signatures in IoT,"Ghazi Muhammad Abdullah, Quzal Mehmood, Chaudry Bilal Ahmad Khan",The adoption of Internet of Things (IoT) technology is increasing at a fast rate. With improving software technologies and growing security threats there is always a need to upgrade the firmware in the IoT devices. Digital signatures are an integral part of digital communication to cope with the threat of these devices being exploited by attackers to run malicious commands codes or patches on them. Digital Signatures measure the authenticity of the transmitted data as well as are a source of record keeping (repudiation). This study proposes the adoption of Lamport signature scheme which is quantum resistant for authentication of data transmission and its feasibility in IoT devices.,IEEE,A,2018,"@INPROCEEDINGS{8346359, author={Abdullah, Ghazi Muhammad and Mehmood, Quzal and Khan, Chaudry Bilal Ahmad}, booktitle={2018 International Conference on Computing, Mathematics and Engineering Technologies (iCoMET)}, title={Adoption of Lamport signature scheme to implement digital signatures in IoT}, year={2018}, volume={}, number={}, pages={1-4}, doi={10.1109/ICOMET.2018.8346359}}"
Post-quantum Secure Cryptographic Algorithms,"Xenia Bogomolec, Jochen Gerhard",This chapter gives an overview of current developments in cryptographic algorithmic solutions against upcoming threats posed by quantum computers as well as unsolved problems in the classical IT landscape. It is an update of our 2018 publication in Computeralgebra-Rundbrief (Bogomolec und Gerhard 2018) and contains some new developments. However the mathematics described are of course still the same. We thank the Fachgruppe Computeralgebra for their support.,"The Digital Journey of Banking and Insurance, Volume II",A,2021,"@INPROCEEDINGS{8346359, author={Zenia Bogolmec and Jochen Gerhard}, booktitle={The Digital Journey of Banking and Insurance, Volume II}, title={Post-quantum Secure Cryptographic Algorithms}, year={2021}, volume={}, number={}, pages={1-4}, doi={10.1007/978-3-030-78829-2_11}"
Post-Quantum Zero-Knowledge and Signatures from Symmetric-Key Primitives,"Melissa Chase
David Derler
Steven Goldfeder
Claudio Orlandi
Sebastian Ramacher
Christian Rechberger
Daniel Slamanig
Greg Zaverucha",We propose a new class of post-quantum digital signature schemes that: (a) derive their security entirely from the security of symmetric-key primitives believed to be quantum-secure and (b) have extremely small keypairs and (c) are highly parameterizable. In our signature constructions the public key is an image y =f (x) of a one-way function f and secret key x. A signature is a non-interactive zero-knowledge proof of x that incorporates a message to be signed. For this proof we leverage recent progress of Giacomelli et al. (USENIXâ€™16) in constructing an efficient Î£-protocol for statements over general circuits. We improve this Î£-protocol to reduce proof sizes by a factor of two at no additional computationalcost. While this is of independent interest as it yields more compact proofs for any circuit it also decreases our signature sizes. We consider two possibilities to make the proof non-interactive: the Fiat-Shamir transform and Unruhâ€™s transform (EUROCRYPTâ€™12 â€™15â€™16). The former has smaller signatures while the latter has a security analysis in the quantum-accessible random oracle model. By customizing Unruhâ€™s transform to our application the overhead is reduced to 1.6x when compared to the Fiat-Shamir transform which does not have a rigorous post-quantum security analysis. We implement and benchmark both approaches and explore the possible choice of f  taking advantage of the recent trend to strive for practical symmetric ciphers with a particularly low number of multiplications and end up using LowMC (EUROCRYPTâ€™15),Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security,SJR - 0.880,2017,"@misc{chase_derler_goldfeder_orlandi_ramacher_rechberger_slamanig_zaverucha_2017, title={Post-quantum Zero-knowledge and signatures from symmetric-key primitives: Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security}, url={https://dl.acm.org/doi/10.1145/3133956.3133997}, journal={ACM Conferences}, publisher={Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security}, author={Chase, Melissa and Derler, David and Goldfeder, Steven and Orlandi, Claudio and Ramacher, Sebastian and Rechberger, Christian and Slamanig, Daniel and Zaverucha, Greg}, year={2017}, month={Oct}}"
"Improved Non-Interactive Zero Knowledge with Applications
to Post-Quantum Signatures","Jonathan KatzVladimir KolesnikovXiao Wang",Recent work including ZKBoo ZKB++ and Ligero has developed efficient non-interactive zero-knowledge proofs of knowledge (NIZKPoKs) for Boolean circuits based on symmetric-key primitives alone using the â€œMPC-in-the-headâ€ paradigm of Ishai et al. We show how to instantiate this paradigm with MPC protocols in the preprocessing model; once optimized this results in an NIZKPoK with shorter proofs (and comparable computation) as in prior work for circuits containing roughly 300â€“100000 AND gates. In contrast to prior work our NIZKPoK also supports witness-independent preprocessing which allows the prover to shift most of its work to an offline phase before the witness is known. We use our NIZKPoK to construct a signature scheme based only on symmetric-key primitives (and hence with â€œpost-quantumâ€ security). The resulting scheme has shorter signatures than the scheme built using ZKB++ (and comparable signing/verification time) and is even competitive with hash-based signature schemes. To further highlight the flexibility and power of our NIZKPoK we also use it to build efficient ring and group signatures based on symmetric-key primitives alone. To our knowledge the resulting schemes are the most efficient constructions of these primitives that offer post-quantum security.,Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security,SJR - 1.026,2018,"@misc{katz_kolesnikov_wang_2018, title={Improved non-interactive zero knowledge with applications to post-quantum signatures: Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security}, url={https://dl.acm.org/doi/10.1145/3243734.3243805}, journal={ACM Conferences}, publisher={Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security}, author={Katz, Jonathan and Kolesnikov, Vladimir and Wang, Xiao}, year={2018}, month={Oct}}"
Compact Privacy Protocols from Post-quantum and Timed Classocal Assumptions,"Jonathan Bootle, Anja Lehmann, Vadim Lyubashevsky, Gregor Seiler",While basic lattice-based primitives like encryption and digital signature schemes are already fairly short more advanced privacy-preserving protocols (e.g. group signatures) that are believed to be post-quantum secure have outputs of at least several hundred kilobytes. In this paper we propose a framework for building privacy protocols with significantly smaller parameter sizes whose secrecy is based on post-quantum assumptions but soundness additionally assumes that some classical assumption e.g. the discrete logarithm problem (DLP) is hard to break within a short amount of time.The main ingredients of our constructions are statistical zero-knowledge proofs of knowledge for certain relations whose soundness rely on the hardness of solving the discrete logarithm problem for a fresh DLP instance per proof. This notion has recently been described by the term quantum annoyance. Using such proofs while also enforcing that they be completed in a fixed amount of time we then show how to construct privacy-preserving primitives such as (dynamic) group signatures and DAA schemes where soundness is based on the hardness of the â€œtimedâ€ discrete logarithm problem and SIS. The outputs of our schemes are significantly shorter (  â‰ˆ30ð‘‹)  than purely lattice-based schemes.,International Workshop on Post-Quantum Cryptography,C,2020,"@inproceedings{bootle2020compact,
title={Compact privacy protocols from post-quantum and timed classical assumptions},
author={Bootle, Jonathan and Lehmann, Anja and Lyubashevsky, Vadim and Seiler, Gregor},
booktitle={International Conference on Post-Quantum Cryptography},
pages={226--246},
year={2020},
organization={Springer}
}"
Zero-knowledge Proof Authentication using Left Self Distributive Systems: A Post-Quantum Approach,Pedro Hecht,This paper presents a theoretical approach to zero-knowledge authentication using left self-distributive (LD) algebraic systems like Laver tables. The reason for using Laver tables is that their combinatorial properties seem quite complicated and as cited involve necessarily fast growing functions. Post-Quantum cryptography explores solutions whose security do not rely on traditional numeric fields one-way trap functions based on integer factorization or discrete logarithm problems. The paper shows at first the method after that it states as a theorem that the authentication protocol complies with a zero-knowledge proof and finally proves it. No attempt or effort has been made to develop a practical instance and the paper focus only on the theoretical aspects of the question. Despite this we sketch the potential use of Laver tables.,Congreso Iberoamericano de Seguridad Informática CIBSI (American Congress of Computer Security CIBSI),None Found,2016,"@inproceedings{hecht2015zero,
title={Zero-knowledge proof authentication using Left Self Distributive Systems: a postquantum approach},
author={Hecht, Pedro},
booktitle={Actas del VIII Congreso Iberoamericano de Seguridad Inform{\'a}tica CIBSI},
volume={15},
pages={96--101},
year={2015}
}"
"Data
 Security Through Zero-Knowledge Proof and Statistical Fingerprinting in
 Vehicle-to-Healthcare Everything (V2HX) Communications",Junaid Ahsenali Chaudhry; Kashif Saleem; Mamoun Alazab; Hafiz Maher Ali Zeeshan; Jalal Al-Muhtadi; Joel J. P. C. Rodrigues,` The security and privacy of healthcare enterprises(HEs) are crucial because they maintain sensitive informa-tion. Because of the unique functional requirement of omni-inclusiveness HEs are expected to monitor patients allowingfor connectivity with vehicular ad hoc networks (VANETs).In the absence of literature on security provisioning frameworksthat connect VANETs and HEs this paper presents a smartzero-knowledge proof and statistical fingerprinting-based trustedsecure communication framework for a fog computing environ-ment. A zero-knowledge proof is used for vehicle authenticationand statistical fingerprinting is employed to secure communi-cation between VANETs and HEs. Authenticity verification ofthe operations is performed at the on-board unit (OBU) fittedin the vehicle based on the service executions at the residenthardware platform. The processor clock cycles are acquired fromthe service executions in a complete sandboxed environment.The calculated cycles assist in developing the blueprint signaturefor the particular OBU of the vehicle. Hence the fingerprintsignature helps build trust and plays a key role in authenticatingthe vehicleâ€™s horizontal movement to everything or to differentsections of the HEs. In an environment enabled for fog computingour novel model can provide efficient remote monitoring,"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS, VOL. 22, NO. 6, JUNE 2021",N/A,2021,"@ARTICLE{9387630,
author={Chaudhry, Junaid Ahsenali and Saleem, Kashif and Alazab, Mamoun and Zeeshan, Hafiz Maher Ali and Al-Muhtadi, Jalal and Rodrigues, Joel J. P. C.},
journal={IEEE Transactions on Intelligent Transportation Systems}, title={Data Security Through Zero-Knowledge Proof and Statistical Fingerprinting in Vehicle-to-Healthcare Everything (V2HX) Communications}, year={2021},
volume={22},
number={6},
pages={3869-3879},
doi={10.1109/TITS.2021.3066487}}"
A post-quantum secure communication system for cloud manufacturing safety,Haibo Yi,In recent years as one of the new advanced manufacturing modes cloud manufacturing has been received wide attentionsaround the world. The technology of cloud manufacturing intergrades the services-oriented techniques as well as manufac-turing processes based on cloud computing. With the aid of the cloud computing platforms the manufacturing services areprovided in manufacturing clouds. However one of the key challenges of cloud manufacturing is the security and safetyof information transmission. Traditional network security architectures are based on RSA and elliptic curve cryptographicsystems which is claimed to be broken on quantum computers. We exploit the countermeasures of post-quantum algorithmsto protect cloud manufacturing against quantum computer attacks. We propose a post-quantum secure scheme for cloudmanufacturing. First in order to retain confidentiality in cloud manufacturing we propose a post-quantum asymmetric-keyencryption scheme to encrypt the message with the generated session key. Second in order to retain authentication securityin cloud manufacturing we propose a post-quantum public-key signature generation scheme. Third based on the encryptionscheme and signature generation scheme we propose a post-quantum secure communication system for cloud manufactur-ing. We implement our design on cloud-based environment and the comparison with related designs show that our design issuitable for protecting communication in cloud manufacturing. Besides the post-quantum secure communication system canbe extended to other applications of intelligent manufacturing,Journal of Intelligent Manufacturing,N/A,2020,"@article{yi_2020, title={A post-quantum Secure Communication System for Cloud Manufacturing Safety}, volume={32}, DOI={10.1007/s10845-020-01682-y}, number={3}, journal={Journal of Intelligent Manufacturing}, author={Yi, Haibo}, year={2020}, pages={679–688}}"
Blockchain-Enabled Identity Verification for Safe Ridesharing Leveraging Zero-Knowledge Proof,"Wanxin Li, Collin Meese, Hao Guo, Mark Nejad",The on-demand mobility market including ridesharing is becoming increasingly important with e-hailing fares growing at a rate of approximately 130% per annum since 2013. By increasing utilization of existing vehicles and empty seats ridesharing can provide many benefits including reduced traffic congestion and environmental impact from vehicle usage and production. However the safety of riders and drivers has become of paramount concern and a method for privacy-preserving identity verification between untrusted parties is essential for protecting users. To this end we propose a novel privacy-preserving identity verification system extending zero-knowledge proof (ZKP) and blockchain for use in ridesharing applications. We design a permissioned blockchain network to perform the ZKP verification of a drivers identity which also acts as an immutable ledger to store ride logs and ZKP records. For the ZKP module we design a protocol to facilitate user verification without requiring the exchange of any private information. We prototype the proposed system on the Hyperledger Fabric platform with the Hyperledger Ursa cryptography library and conduct extensive experimentation. To measure the prototypes performance we utilize the Hyperledger Caliper benchmark tool to perform extensive analysis and the results show that our system is suitable for use in real-world ridesharing applications.,IEEE 2020 3rd International Conference on Hot Information-Centric Networking (HotICN),C,2020,"@misc{li_meese_guo_nejad, title={Blockchain-enabled identity verification for safe ridesharing leveraging zero-knowledge proof}, url={https://ieeexplore.ieee.org/abstract/document/9350858}, journal={IEEE Xplore}, author={Li, Wanxin and Meese, Collin and Guo, Hao and Nejad, Mark}}"
Secure Digital Service Payments using Zero Knowledge Proof in Distributed Network,"M. Harikrishnan, K.V. Lakshmy",Performing a fair exchange without a Trusted Third Party (TTP) was considered to be impossible. With multi party computation and practices like Proof-of-Work (PoW) blockchain accomplishes a fair exchange in a trustless network. Data confidentiality is a key challenge that has to be resolved before adopting blockchain for enterprise applications where tokenized assets will be transferred. Protocols like Zcash are already providing the same for financial transactions but lacks flexibility required to apply in most of the potential use cases of blockchain. Most of the real world application work in a way where a transaction is carried out when a particular action is performed. Also the zero knowledge proof method used in Zcash ZKSNARK has certain weaknesses restricting its adoption. One of the major drawbacks of ZKSNARK is that it requires an initial trust setup phase which is difficult to achieve in blockchain ecosystem. ZKSTARK an interactive zero knowledge proof does not require this phase and also provides security against post quantum attacks. We propose a system that uses two indistinguishable hash functions along with ZKSTARK to improve the flexibility of blockchain platforms. The two indistinguishable hash functions are chosen from SHA3-finalists based on their security performance and inner designs.,IEEE 2019 5th International Conference on Advanced Computing & Communication Systems (ICACCS),B,2019,"@misc{harikrishnan_lakshmy, title={Secure Digital Service Payments Using zero knowledge proof in distributed network}, url={https://ieeexplore.ieee.org/abstract/document/8728462}, journal={IEEE Xplore}, author={Harikrishnan, M. and Lakshmy, K. V.}}"
Fault-Injection Attacks Against NIST’s Post-Quantum Cryptography Round 3 KEM Candidates,Keita Xagawa Akira Ito Rei Ueno Junko Takahashi Naofumi Homma,We investigate all NIST PQC RoundÂ 3 KEM candidates from the viewpoint of fault-injection attacks: Classic McEliece Kyber NTRU Saber BIKE FrodoKEM HQC NTRU Prime and SIKE. All KEM schemes use variants of the Fujisaki-Okamoto transformation so the equality test with re-encryption in decapsulation is critical.We survey effective key-recovery attacks when we can skip the equality test. We found the existing key-recovery attacks against Kyber NTRU Saber FrodoKEM HQC one of two KEM schemes in NTRU Prime and SIKE. We propose a new key-recovery attack against the other KEM scheme in NTRU Prime. We also report an attack against BIKE that leads to leakage of information of secret keys.The open-source pqm4 library contains all KEM schemes except Classic McEliece and HQC. We show that giving a single instruction-skipping fault in the decapsulation processes leads to skipping the equality test virtually for Kyber NTRU Saber BIKE and SIKE. We also report the experimental attacks against them. We also report the implementation of NTRU Prime allows chosen-ciphertext attacks freely and the timing side-channel of FrodoKEM reported in Guo Johansson and Nilsson (CRYPTO 2020) remains while there are no such bugs in their NIST PQC RoundÂ 3 submissions.,International Conference on the Theory and Application of Cryptology and Information Security: ASIACRYPT 2021: Advances in Cryptology – ASIACRYPT 2021,A,2021,"@InProceedings{10.1007/978-3-030-92075-3_2,
author=""Xagawa, Keita
and Ito, Akira
and Ueno, Rei
and Takahashi, Junko
and Homma, Naofumi"",
editor=""Tibouchi, Mehdi
and Wang, Huaxiong"",
title=""Fault-Injection Attacks Against NIST's Post-Quantum Cryptography Round 3 KEM Candidates"",
booktitle=""Advances in Cryptology -- ASIACRYPT 2021"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""33--61"",
abstract=""We investigate all NIST PQC Round 3 KEM candidates from the viewpoint of fault-injection attacks: Classic McEliece, Kyber, NTRU, Saber, BIKE, FrodoKEM, HQC, NTRU Prime, and SIKE. All KEM schemes use variants of the Fujisaki-Okamoto transformation, so the equality test with re-encryption in decapsulation is critical."",
isbn=""978-3-030-92075-3""
}"
SoK: How (not) to Design and Implement Post-quantum Cryptography,"James Howe, Thomas Prest, Daniel Apon",Post-quantum cryptography has known a Cambrian explosion in the last decade. What started as a very theoretical and mathematical area has now evolved into a sprawling research field complete with side-channel resistant embedded implementations large scale deployment tests and standardization efforts. This study systematizes the current state of knowledge on post-quantum cryptography. Compared to existing studies we adopt a transversal point of view and center our study around three areas: (i) paradigms (ii) implementation (iii) deployment. Our point of view allows to cast almost all classical and post-quantum schemes into just a few paradigms. We highlight trends common methodologies and pitfalls to look for and recurrent challenges.,Cryptographers’ Track at the RSA Conference,B,2021,"@InProceedings{10.1007/978-3-030-75539-3_19,
author=""Howe, James
and Prest, Thomas
and Apon, Daniel"",
editor=""Paterson, Kenneth G."",
title=""SoK: How (not) to Design and Implement Post-quantum Cryptography"",
booktitle=""Topics in Cryptology -- CT-RSA 2021"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""444--477"",
abstract=""Post-quantum cryptography has known a Cambrian explosion in the last decade. What started as a very theoretical and mathematical area has now evolved into a sprawling research field, complete with side-channel resistant embedded implementations, large scale deployment tests and standardization efforts. This study systematizes the current state of knowledge on post-quantum cryptography. Compared to existing studies, we adopt a transversal point of view and center our study around three areas: (i) paradigms, (ii) implementation, (iii) deployment. Our point of view allows to cast almost all classical and post-quantum schemes into just a few paradigms. We highlight trends, common methodologies, and pitfalls to look for and recurrent challenges."",
isbn=""978-3-030-75539-3""
}"
Crystals-Dilithium on ARMv8,"Youngbeom Kim, Jingyo Song, Taek-Young Youn, and Seog Chung Seo",Crystals-Dilithium is one of the digital-signature algorithms in NISTâ€™s ongoing post-quantum cryptography (PQC) standardization final round. Security and computational efficiency concerning software and hardware implementations are the primary criteria for PQC standardization. Many studies were conducted to efficiently apply Dilithium in various environments; however they are focused on traditionally used PC and 32-bit Advanced RISC Machine (ARM) processors (Cortex-M4). ARMv8-based processors are more advanced embedded microcontrollers (MCUs) and have been widely used for various IoT devices edge computing devices and On-Board Units in autonomous driving cars. In this study we present an efficient Crystals-Dilithium implementation on ARMv8-based MCU. To enhance Dilithiumâ€™s performance we optimize number theoretic transform (NTT)-based polynomial multiplication the core operation of Dilithium by leveraging ARMv8â€™s architectural properties such as large register sets and NEON engine. We apply task parallelism to NTT-based polynomial multiplication using the NEON engine. In addition we reduced the number of memory accesses during NTT-based polynomial multiplication with the proposed merging and register-holding techniques. Finally we present an interleaved NTT-based multiplication simultaneously executed with ARM processor and NEON engine. This implementation can further optimize performance by eliminating the ARM processor latency with NEON overheads. Through the proposed optimization methods for Dilithium 3 we achieved a performance improvement of about 43.83% in key pair generation 113.25% in signing and 41.92% in verification compared to the reference implementation submitted to the final round of the NIST PQC competition.,Security and Communication Networks,SJR - 0.446,2022,"@misc{kim_song_youn_seo_2022, title={Crystals-dilithium on armv8}, url={https://www.hindawi.com/journals/scn/2022/5226390/}, journal={Security and Communication Networks}, publisher={Hindawi}, author={Kim, Youngbeom and Song, Jingyo and Youn, Taek-Young and Seo, Seog Chung}, year={2022}, month={Feb}}"
CRYSTALS-Dilithium,"Deepraj Soni, Kanad Basu, Mohammed Nabeel, Najwa Aaraj, Marcos Manzano, Ramesh Karri",CRYSTALS-Dilithium is a lattice-based cryptography algorithm which claims to provide a signature scheme that is unforgeable against quantum-computers; it is the first such algorithm we consider in-depth of the eight in this book. This algorithm has three components: key generation signature generation and signature verification. We select four variants of CRYSTALS-Dilithium with distinct security strength and make these variants capable of synthesis by a High-Level Synthesis (HLS) tool. We summarize all the changes in the C code to make it capable of synthesis. Using HLS we generate FPGA and ASIC designs for all three components of the four variants. For CRYSTALS-Dilithium hardware architectures we evaluate trade-offs in power area speed and security. We explore the design-space through a detailed analysis of FPGA and ASIC designs. The evaluation leads to the conclusion that the FPGA implementation of Dilithiumâ€™s security level 3 variant has the highest latency and area overhead while its ASIC-specific implementation shows that it has the best security with minimal latency and area overhead.,Springer International Publishing,SJR - 2.394,2020,"@misc{deepraj&nbsp;soni_kanad&nbsp;basu_mohammed&nbsp;nabeel_najwa&nbsp;aaraj_marcos&nbsp;manzano_ramesh&nbsp;karri_deepraj&nbsp;soni1_kanad&nbsp;basu2_mohammed&nbsp;nabeel3_najwa&nbsp;aaraj4_et al._1970, title={Crystals-dilithium}, url={https://link.springer.com/chapter/10.1007/978-3-030-57682-0_2}, journal={SpringerLink}, publisher={Springer, Cham}, author={Deepraj&nbsp;Soni and Kanad&nbsp;Basu and Mohammed&nbsp;Nabeel and Najwa&nbsp;Aaraj and Marcos&nbsp;Manzano and Ramesh&nbsp;Karri and Deepraj&nbsp;Soni1 and Kanad&nbsp;Basu2 and Mohammed&nbsp;Nabeel3 and Najwa&nbsp;Aaraj4 and et al.}, year={1970}, month={Jan}}"
Benchmarking Post-Quantum Cryptography in TLS,"Christian Paquin, Douglas Stebila, Goutam Tamvada",Post-quantum cryptographic primitives have a range of trade-offs compared to traditional public key algorithms either having slower computation or larger public keys and ciphertexts/signatures or both. While the performance of these algorithms in isolation is easy to measure and has been a focus of optimization techniques performance in realistic network conditions has been less studied. Google and Cloudflare have reported results from running experiments with post-quantum key exchange algorithms in the Transport Layer Security (TLS) protocol with real usersâ€™ network traffic. Such experiments are highly realistic but cannot be replicated without access to Internet-scale infrastructure and do not allow for isolating the effect of individual network characteristics.In this work we develop and make use of a framework for running such experiments in TLS cheaply by emulating network conditions using the networking features of the Linux kernel. Our testbed allows us to independently control variables such as link latency and packet loss rate and then examine the performance impact of various post-quantum-primitives on TLS connection establishment specifically hybrid elliptic curve/post-quantum key exchange and post-quantum digital signatures based on implementations from the Open Quantum Safe project. Among our key results we observe that packet loss rates above 3â€“5% start to have a significant impact on post-quantum algorithms that fragment across many packets such as those based on unstructured lattices. The results from this emulation framework are also complemented by results on the latency of loading entire web pages over TLS in real network conditions which show that network latency hides most of the impact from algorithms with slower computations (such as supersingular isogenies).,Springer - Lecture Notes in Computer Science,SJR - 0.249,2020,"@inproceedings{paquin2020benchmarking,
title={Benchmarking post-quantum cryptography in TLS},
author={Paquin, Christian and Stebila, Douglas and Tamvada, Goutam},
booktitle={International Conference on Post-Quantum Cryptography},
pages={72--91},
year={2020},
organization={Springer}
}"
NIST Post-Quantum Cryptography- A Hardwrae Evaluation Study,"Kanad Basu, Deepraj Soni, Mohammed Nabeel, Ramesh Karri",Experts forecast that quantum computers can break classical cryptographic algorithms. Scientists are developing postquantum cryptographic (PQC) algorithms that are invulnerable to quantum computer attacks. The National Institute of Standards and Technology (NIST) started a public evaluation process to standardize quantum-resistant public key algorithms. The objective of our study is to provide a hardware-based comparison of the NIST PQC candidates. For this we use a High-Level Synthesis (HLS)-based hardware design methodology to map high-level C specifications of round 2 PQC candidates into both FPGA and ASIC implementations.,IACR - Crypto,SJR - 0.715,2019,"@article{basu2019nist,
title={Nist post-quantum cryptography-a hardware evaluation study},
author={Basu, Kanad and Soni, Deepraj and Nabeel, Mohammed and Karri, Ramesh},
journal={Cryptology ePrint Archive},
year={2019}
}"
Instruction-Set Accelerated Implementation of CRYSTALS-Kyber,"Mojtaba Bisheh-Niasar, Reza Azarderakhsh, Mehran Mozaffari-Kermani",Large scale quantum computers will break classical public-key cryptography protocols by quantum algorithms such as Shorâ€™s algorithm. Hence designing quantum-safe cryptosystems to replace current classical algorithms is crucial. Luckily there are some post-quantum candidates that are assumed to be resistant against future attacks from quantum computers and NIST is considering standardizing them. Among these candidates lattice-based cryptography sounds more interesting than others due to the performance results as well as confidence in the security. There are few works in the literature evaluating the performance of lattice-based cryptography in hardware. In this paper we focus on Cryptographic Suite for Algebraic Lattices (CRYSTALS) key exchange mechanisms known as Kyber and provide an instruction-set hardware architecture and implement on Xilinx Artix-7 FPGA for performance evaluation and testing. Our proposed architecture provides an efficient and high-performance set of components to perform polynomial sampling number-theoretic transform (NTT) and point-wise multiplication to speed up lattice-based post-quantum cryptography (PQC). This architecture implemented on ASIC outperforms state-of-the-art implementations.,IEEE Transactions on Circuits and Systems I: Regular Papers,A,2021,"@misc{bisheh-niasar_azarderakhsh_mozaffari-kermani, title={Instruction-set accelerated implementation of crystals-kyber}, url={https://ieeexplore.ieee.org/abstract/document/9525069}, journal={IEEE Xplore}, author={Bisheh-Niasar, Mojtaba and Azarderakhsh, Reza and Mozaffari-Kermani, Mehran}}"
Zero-Knowledge Reparation of the Véron and AGS Code-based Identification Schemes,"Slim Bettaieb, Loïc Bidoux, Olivier Blazy, Philippe Gaborit",Designing code-based signatures is both an important and challenging problem. A standard way to tackle it consists to use the Fiat-Shamir heuristic along with an identification scheme that is required to be zero-knowledge. The authors of [1] have highlighted an issue within the zero-knowledge proof of the Veron identification scheme [2]. It turns out that the zero-knowledge proof of the AGS protocol [3] is impacted in a similar way. In this paper we present a masking technique that solves the aforementioned issue without inducing any performance penalty. We introduce the Masked Veron and Masked AGS protocols that both leverage this masking technique and provide their zero-knowledge proofs. In addition we present a new technique improving the performances of signatures built from code-based identification schemes subject to the attack described in [4]. The Masked Veron and Masked AGS protocols feature all the existing performance improvements from the literature.,IEEE ISIT,B,2021,"@misc{bettaieb_bidoux_blazy_gaborit, title={Zero-knowledge reparation of the Véron and AGS code-based identification schemes}, url={https://ieeexplore.ieee.org/abstract/document/9517937}, journal={IEEE Xplore}, author={Bettaieb, Slim and Bidoux, Loïc and Blazy, Olivier and Gaborit, Philippe}}"
Efficient Zero-Knowledge Proof Systems,"Jonathan Bootle, Andrea Cerulli, Pyrros Chaidos, Jens Groth",A proof system can be used by a prover to demonstrate to one or more verifiers that a statement is true. Proof systems can be interactive where the prover and verifier exchange many messages or non-interactive where the prover sends a single convincing proof to the verifier. Proof systems are widely used in cryptographic protocols to verify that a party is following a protocol correctly and is not cheating.A particular type of proof systems are zero-knowledge proof systems where the prover convinces the verifier that the statement is true but does not leak any other information. Zero-knowledge proofs are useful when the prover has private data that should not be leaked but needs to demonstrate a certain fact about this data. The prover may for instance want to show it is following a protocol correctly but not want to reveal its own input.In these lecture notes we give an overview of some central techniques behind the construction of efficient zero-knowledge proofs.,Lecture Notes in Computer Science - springer,SJR - 0.339,2016,"@misc{bootle_cerulli_chaidos_groth_1970, title={Efficient zero-knowledge proof systems}, url={https://link.springer.com/chapter/10.1007/978-3-319-43005-8_1}, journal={SpringerLink}, publisher={Springer International Publishing}, author={Bootle, Jonathan and Cerulli, Andrea and Chaidos, Pyrros and Groth, Jens}, year={1970}, month={Jan}}"
"Zero knowledge proofs based authenticated key agreement protocol for
sustainable healthcare","Gurjot Singh Gaba 
Mustapha Hedabou 
Pardeep Kumar
An Braeken 
Madhusanka Liyanage 
Mamoun Alazab",Upgradation of technologies for sustainable smart cities has led to rapid growth in Internet of Things (IoT) applications including e-healthcare services wherein smart devices collect patient data and deliver it remotely to the servers in real-time. Despite its enormous benefits IoT in healthcare has not received much attention primarily due to the risk of unauthorized access to confidential medical information enabled by the vulnerable wireless channel for communication. Besides tiny IoT devices have limited computing power and storage capabilities that prevent administrators from using complex and resource-hungry security protocols. The cyber attacks on the Internet of Healthcare applications (IoHA) could result in fatalities decreased revenue and reputation loss hence endangering sustainability. The existing security protocols are unsuitable due to the cost complexities that necessitate developing new security protocols for resource-constrained and heterogeneous IoT networks. We introduce a confidentiality and anonymity-preserving scheme for critical infrastructures of IoT to conquer cyber threats for sustainable healthcare. This paper proposes Zero-Knowledge Proofs (ZKP) based Authenticated Key Agreement (AKA) protocol for IoHA. ZKP-AKA uses zero-knowledge proofs physically unclonable function biometrics symmetric cryptography message digest etc. for accomplishing the protocolâ€™s objective at minimal computation storage and communication expenses. ZKP-AKA retains data integrity confidentiality anonymity and safety from significant cyber threats.,Sustainable Cities and Society - Elsevier,SJR - 1.645,2022,"@misc{gaba_hedabou_kumar_braeken_liyanage_alazab_2022, title={Zero knowledge proofs based authenticated key agreement protocol for sustainable healthcare}, url={https://www.sciencedirect.com/science/article/pii/S2210670722000956}, journal={Sustainable Cities and Society}, publisher={Elsevier}, author={Gaba, Gurjot Singh and Hedabou, Mustapha and Kumar, Pardeep and Braeken, An and Liyanage, Madhusanka and Alazab, Mamoun}, year={2022}, month={Feb}}"
